x,y,value
0,0,177
1,0,177
2,0,177
3,0,177
4,0,177
5,0,177
6,0,177
7,0,177
8,0,177
9,0,177
10,0,177
11,0,177
12,0,177
13,0,176
14,0,176
15,0,177
16,0,178
17,0,178
18,0,178
19,0,178
20,0,179
21,0,179
22,0,180
23,0,180
24,0,181
25,0,181
26,0,181
27,0,181
28,0,180
29,0,179
30,0,179
31,0,178
32,0,176
33,0,176
34,0,176
35,0,176
36,0,176
37,0,176
38,0,176
39,0,176
40,0,177
41,0,177
42,0,178
43,0,179
44,0,180
45,0,179
46,0,179
47,0,179
48,0,179
49,0,179
50,0,179
51,0,179
52,0,179
53,0,178
54,0,178
55,0,177
56,0,177
57,0,177
58,0,177
59,0,176
60,0,176
61,0,176
62,0,175
63,0,175
64,0,175
65,0,175
66,0,176
67,0,176
68,0,176
69,0,176
70,0,175
71,0,176
72,0,176
73,0,176
74,0,177
75,0,177
76,0,178
77,0,178
78,0,178
79,0,177
80,0,177
81,0,177
82,0,178
83,0,177
84,0,178
85,0,177
86,0,177
87,0,176
88,0,177
89,0,176
90,0,176
91,0,176
92,0,176
93,0,175
94,0,176
95,0,175
96,0,175
97,0,175
98,0,175
99,0,175
100,0,175
101,0,175
102,0,175
103,0,174
104,0,175
105,0,175
106,0,175
107,0,175
108,0,175
109,0,175
110,0,175
111,0,175
112,0,175
113,0,175
114,0,175
115,0,174
116,0,175
117,0,175
118,0,175
119,0,175
120,0,175
121,0,175
122,0,175
123,0,173
124,0,175
125,0,175
126,0,175
127,0,175
128,0,175
129,0,175
130,0,174
131,0,175
132,0,174
133,0,175
134,0,175
135,0,175
136,0,174
137,0,174
138,0,174
139,0,174
140,0,174
141,0,174
142,0,173
143,0,174
144,0,174
145,0,174
146,0,174
147,0,173
148,0,173
149,0,174
150,0,174
151,0,174
152,0,173
153,0,174
154,0,173
155,0,174
156,0,174
157,0,174
158,0,174
159,0,174
160,0,174
161,0,174
162,0,174
163,0,174
164,0,174
165,0,174
166,0,173
167,0,174
168,0,174
169,0,174
170,0,174
171,0,174
172,0,174
173,0,176
174,0,174
175,0,174
176,0,174
177,0,174
178,0,175
179,0,175
180,0,174
181,0,175
182,0,174
183,0,174
184,0,175
185,0,175
186,0,175
187,0,175
188,0,175
189,0,175
190,0,175
191,0,175
192,0,175
193,0,175
194,0,175
195,0,175
196,0,177
197,0,177
198,0,178
199,0,177
200,0,177
201,0,177
202,0,174
203,0,171
204,0,174
205,0,176
206,0,178
207,0,178
208,0,179
209,0,178
210,0,176
211,0,175
211,1,175
210,1,175
209,1,174
208,1,172
207,1,168
206,1,164
205,1,162
204,1,161
203,1,160
202,1,159
201,1,159
200,1,158
199,1,158
198,1,157
197,1,157
196,1,157
195,1,157
194,1,156
193,1,156
192,1,156
191,1,156
190,1,158
189,1,158
188,1,160
187,1,161
186,1,165
